"","ca","ca_model_nl",""
"1",0.98,0.893,0.087
"2",0.983,0.624180213872065,0.358819786127935
"3",0.544,0.893,-0.349
"4",0.225,0.268819786127935,-0.0438197861279352
"5",0.566,0.512557282253287,0.0534427177467126
"6",0.034,0.0864880017886289,-0.0524880017886289
